Date,Price,Open,High,Low,Vol.,Change
2014-11-18,1338.09,1334.59,1340.17,1332.30,114790000,0.18
2014-11-19,1347.36,1337.93,1351.19,1337.92,120860000,0.69
2014-11-20,1344.57,1343.44,1346.63,1340.03,109490000,-0.21
2014-11-21,1359.83,1344.89,1359.83,1344.89,132590000,1.13
2014-11-24,1377.79,1373.27,1382.05,1367.64,203880000,1.32
2014-11-25,1397.41,1378.94,1397.41,1377.66,190570000,1.42
2014-11-26,1405.65,1399.39,1407.01,1394.75,196320000,0.59
2014-11-27,1416.18,1409.67,1416.18,1403.58,215360000,0.75
2014-11-28,1420.32,1415.52,1420.32,1404.44,237890000,0.29
2014-12-01,1412.56,1420.80,1420.80,1404.43,224160000,-0.55
2014-12-02,1433.50,1410.27,1435.29,1408.76,204650000,1.48
2014-12-03,1452.92,1436.32,1452.95,1428.58,288940000,1.35
2014-12-04,1481.96,1454.87,1482.15,1454.66,273710000,2.00
2014-12-05,1454.63,1486.82,1486.84,1416.87,313020000,-1.84
2014-12-08,1466.65,1447.51,1472.71,1434.02,273930000,0.83
2014-12-09,1403.39,1459.78,1474.57,1401.00,345800000,-4.31
2014-12-10,1452.53,1401.02,1452.77,1394.73,230780000,3.50
2014-12-11,1465.59,1448.02,1470.01,1442.87,236360000,0.90
2014-12-12,1479.82,1466.68,1481.31,1465.02,203650000,0.97
2014-12-15,1500.56,1477.92,1502.03,1473.87,210900000,1.40
2014-12-16,1503.58,1501.00,1504.48,1489.86,213600000,0.20
2014-12-17,1492.94,1502.14,1502.14,1474.97,228900000,-0.71
2014-12-18,1484.26,1488.93,1497.04,1483.72,182290000,-0.58
2014-12-19,1465.59,1480.97,1480.97,1441.69,212010000,-1.26
2014-12-22,1412.30,1460.53,1460.53,1405.69,243470000,-3.64
2014-12-23,1392.62,1404.06,1420.64,1391.10,167940000,-1.39
2014-12-24,1404.40,1397.86,1405.04,1390.73,153940000,0.85
2014-12-25,1424.62,1408.42,1424.62,1406.48,148770000,1.44
2014-12-26,1439.48,1425.12,1439.48,1423.02,172210000,1.04
2014-12-29,1418.49,1442.06,1442.06,1409.98,201880000,-1.46
2014-12-30,1398.57,1415.87,1418.19,1394.85,165700000,-1.40
2014-12-31,1415.19,1397.70,1415.19,1393.18,159180000,1.19
2015-01-05,1436.86,1419.43,1440.57,1408.98,218360000,1.53
2015-01-06,1461.32,1429.10,1463.04,1422.44,211610000,1.70
2015-01-07,1457.45,1458.26,1462.41,1446.97,168360000,-0.26
2015-01-08,1451.14,1456.33,1463.46,1442.66,164450000,-0.43
2015-01-09,1442.84,1446.89,1467.91,1442.82,161630000,-0.57
2015-01-12,1432.56,1436.63,1441.66,1422.19,139680000,-0.71
2015-01-13,1452.37,1431.48,1454.26,1431.12,124080000,1.38
2015-01-14,1445.86,1453.62,1456.61,1438.93,121870000,-0.45
2015-01-15,1459.69,1445.23,1459.69,1445.15,125830000,0.96
2015-01-16,1478.47,1460.41,1479.75,1460.41,147260000,1.29
2015-01-19,1428.37,1436.70,1474.72,1411.92,195380000,-3.39
2015-01-20,1476.84,1432.07,1476.84,1432.07,180890000,3.39
2015-01-21,1512.29,1483.11,1512.68,1482.18,211740000,2.40
2015-01-22,1530.28,1512.50,1530.62,1511.15,192750000,1.19
2015-01-23,1514.30,1532.42,1533.69,1508.88,184720000,-1.04
2015-01-26,1548.02,1520.02,1548.75,1519.06,182670000,2.23
2015-01-27,1549.93,1548.35,1554.62,1527.09,204000000,0.12
2015-01-28,1538.86,1545.14,1554.36,1534.94,168080000,-0.71
2015-01-29,1529.38,1526.15,1536.28,1520.54,157200000,-0.62
2015-01-30,1512.39,1531.45,1537.98,1512.39,155500000,-1.11
2015-02-02,1502.89,1494.60,1514.50,1489.29,133740000,-0.63
2015-02-03,1533.22,1509.75,1533.83,1509.75,146280000,2.02
2015-02-04,1529.04,1536.65,1543.58,1528.19,156540000,-0.27
2015-02-05,1526.11,1544.19,1551.59,1526.11,176350000,-0.19
2015-02-06,1495.26,1522.81,1526.04,1489.37,150810000,-2.02
2015-02-09,1489.39,1491.92,1500.87,1485.95,120540000,-0.39
2015-02-10,1512.49,1488.63,1512.49,1488.23,108340000,1.55
2015-02-11,1533.32,1515.17,1534.70,1515.17,128220000,1.38
2015-02-12,1544.80,1534.51,1546.44,1534.23,133840000,0.75
2015-02-13,1569.56,1551.91,1575.37,1551.91,166970000,1.60
2015-02-16,1600.05,1574.08,1600.05,1574.08,166440000,1.94
2015-02-17,1610.73,1606.81,1612.52,1600.96,149360000,0.67
2015-02-25,1598.30,1615.47,1615.47,1593.97,152710000,-0.77
2015-02-26,1614.71,1597.24,1614.73,1596.48,165250000,1.03
2015-02-27,1630.05,1614.14,1630.67,1612.62,182020000,0.95
2015-03-02,1663.65,1640.89,1663.65,1637.15,241960000,2.06
2015-03-03,1644.99,1657.84,1668.55,1644.35,253470000,-1.12
2015-03-04,1673.24,1645.47,1673.24,1645.47,218300000,1.72
2015-03-05,1677.77,1673.93,1677.89,1663.29,224200000,0.27
2015-03-06,1651.77,1679.94,1682.72,1650.70,202060000,-1.55
2015-03-09,1672.07,1643.16,1672.07,1634.57,184950000,1.23
2015-03-10,1691.98,1672.36,1697.51,1671.52,195230000,1.19
2015-03-11,1689.15,1692.28,1696.57,1684.90,193400000,-0.17
2015-03-12,1684.84,1692.28,1694.07,1674.07,198460000,-0.26
2015-03-13,1708.08,1688.99,1708.08,1688.73,179150000,1.38
2015-03-16,1760.19,1719.68,1760.19,1719.68,254030000,3.05
2015-03-17,1781.78,1769.82,1785.36,1761.01,315380000,1.23
2015-03-18,1818.38,1783.45,1818.38,1779.14,322100000,2.05
2015-03-19,1827.86,1821.43,1827.86,1808.95,311600000,0.52
2015-03-20,1852.94,1829.24,1853.55,1829.24,297900000,1.37
2015-03-23,1903.64,1864.37,1903.64,1864.37,322800000,2.74
2015-03-24,1922.85,1912.47,1923.92,1856.15,390800000,1.01
2015-03-25,1943.69,1923.69,1955.11,1912.56,333200000,1.08
2015-03-26,1914.23,1935.40,1948.18,1897.54,307900000,-1.52
2015-03-27,1935.59,1911.88,1938.15,1910.64,237000000,1.12
2015-03-30,1948.06,1939.06,1951.62,1933.38,298100000,0.64
2015-03-31,1958.40,1957.53,1979.23,1950.52,317700000,0.53
2015-04-01,2005.67,1961.14,2009.15,1961.14,287900000,2.41
2015-04-02,2043.03,2018.50,2043.03,2012.82,321800000,1.86
2015-04-03,2080.39,2035.97,2081.59,2027.61,326200000,1.83
2015-04-07,2124.09,2094.42,2124.09,2094.42,344500000,2.10
2015-04-08,2109.03,2132.87,2133.72,2066.20,361400000,-0.71
2015-04-09,2096.97,2111.22,2111.22,2026.13,346200000,-0.57
2015-04-10,2149.11,2088.14,2153.01,2077.89,295300000,2.49
2015-04-13,2187.73,2160.00,2192.49,2149.37,332800000,1.80
2015-04-14,2181.89,2190.23,2204.44,2163.01,326900000,-0.27
2015-04-15,2101.65,2174.49,2174.49,2101.65,311600000,-3.68
2015-04-16,2126.15,2076.04,2148.88,2059.13,259700000,1.17
2015-04-17,2136.27,2143.57,2153.15,2126.84,334300000,0.48
2015-04-20,2093.71,2131.92,2144.99,2085.75,370400000,-1.99
2015-04-21,2174.93,2096.27,2174.93,2096.27,309300000,3.88
2015-04-22,2234.46,2194.97,2235.57,2194.97,363900000,2.74
2015-04-23,2256.97,2247.33,2269.96,2230.57,378700000,1.01
2015-04-24,2256.36,2236.10,2263.69,2217.24,353200000,-0.03
2015-04-27,2271.28,2275.64,2292.74,2251.99,345300000,0.66
2015-04-28,2208.56,2274.07,2275.34,2187.90,334000000,-2.76
2015-04-29,2254.97,2202.60,2258.29,2195.22,272500000,2.10
2015-04-30,2267.77,2266.28,2294.02,2266.28,276300000,0.57
2015-05-04,2281.66,2274.99,2287.72,2250.35,264100000,0.61
2015-05-05,2217.89,2280.98,2282.69,2205.44,300600000,-2.79
2015-05-06,2206.71,2226.90,2271.47,2194.05,266600000,-0.50
2015-05-07,2181.30,2198.13,2210.77,2175.87,226500000,-1.15
2015-05-08,2272.17,2206.23,2272.17,2206.23,254200000,4.17
2015-05-11,2373.92,2301.28,2373.94,2290.40,317400000,4.48
2015-05-12,2425.90,2391.31,2426.44,2376.99,334000000,2.19
2015-05-13,2445.87,2414.73,2469.38,2390.15,347000000,0.82
2015-05-14,2454.20,2453.47,2471.35,2434.95,338000000,0.34
2015-05-15,2442.76,2446.79,2464.37,2406.51,311200000,-0.47
2015-05-18,2501.46,2443.65,2507.03,2440.87,295500000,2.40
2015-05-19,2567.29,2518.78,2570.53,2500.47,318000000,2.63
2015-05-20,2619.32,2583.56,2661.88,2583.56,379600000,2.03
2015-05-21,2713.42,2636.25,2713.42,2636.25,355800000,3.59
2015-05-22,2740.92,2756.34,2772.49,2685.88,436100000,1.01
2015-05-25,2785.07,2710.73,2788.97,2692.47,421400000,1.61
2015-05-26,2884.66,2802.04,2884.76,2800.82,446900000,3.58
2015-05-27,2918.02,2904.97,2930.31,2842.40,444799999,1.16
2015-05-28,2756.93,2923.87,2967.53,2756.84,522000000,-5.52
2015-05-29,2793.25,2751.38,2841.26,2641.80,412400000,1.32
2015-06-01,2926.96,2818.36,2926.96,2818.36,364799999,4.79
2015-06-02,3029.97,2949.82,3029.98,2936.66,396500000,3.52
2015-06-03,3041.41,3051.33,3065.05,2962.32,407200000,0.38
2015-06-04,3023.70,3043.80,3050.63,2853.89,401599999,-0.58
2015-06-05,3051.95,3065.45,3091.42,2991.27,444200000,0.93
2015-06-08,2999.34,3048.55,3048.55,2959.49,420800000,-1.72
2015-06-09,2994.85,2989.27,3025.35,2957.07,347200000,-0.15
2015-06-10,3055.58,2979.89,3083.09,2957.11,358800000,2.03
2015-06-11,3100.93,3058.90,3100.93,3049.40,351100000,1.48
2015-06-12,3140.66,3115.85,3156.96,3110.03,385100000,1.28
2015-06-15,3073.07,3151.14,3155.10,3067.97,406200000,-2.15
2015-06-16,2962.66,3034.60,3034.60,2937.24,353000000,-3.59
2015-06-17,3021.40,2960.47,3030.22,2873.09,312400000,1.98
2015-06-18,2913.60,3016.00,3029.95,2908.51,289100000,-3.57
2015-06-19,2742.18,2846.79,2873.67,2736.48,289600000,-5.88
2015-06-23,2774.64,2737.09,2774.64,2597.66,292900000,1.18
2015-06-24,2822.73,2799.64,2831.09,2746.91,332200000,1.73
2015-06-25,2716.71,2831.76,2832.43,2684.24,331700000,-3.76
2015-06-26,2502.95,2629.51,2632.33,2493.79,294700000,-7.87
2015-06-29,2351.40,2547.37,2549.29,2308.97,358900000,-6.05
2015-06-30,2464.23,2288.06,2466.44,2201.90,399500000,4.80
2015-07-01,2346.13,2439.09,2523.08,2334.44,348700000,-4.79
2015-07-02,2215.81,2333.66,2347.40,2191.59,320700000,-5.55
2015-07-03,2098.48,2135.55,2243.57,2060.56,315500000,-5.30
2015-07-06,2041.85,2235.98,2235.98,1982.33,396300000,-2.70
2015-07-07,1932.83,1970.38,1982.04,1918.82,227300000,-5.34
2015-07-08,1884.45,1854.22,1888.19,1851.61,307300000,-2.50
2015-07-09,1955.35,1864.69,1955.65,1864.69,207500000,3.76
2015-07-10,2035.26,1991.06,2037.54,1986.31,158900000,4.09
